> pLValues
 [929] 0.595714286 0.584285714
 [931] 0.101428571 0.197142857
 [933] 0.592857143 0.125714286
 [935] 0.378571429 0.155714286
 [937] 0.830000000 0.614285714
 [939] 0.931428571 0.777142857
 [941] 0.484285714 0.540000000
 [943] 0.345714286 0.832857143
 [945] 0.445714286 0.517142857
 [947] 0.675714286 0.344285714
 [949] 0.218571429 0.645714286
 [951] 0.174285714 0.864285714
 [953] 0.798571429 0.110000000
 [955] 0.010000000 0.248571429
 [957] 0.882857143 0.377142857
 [959] 0.764285714 0.574285714
 [961] 0.198571429 0.751428571
 [963] 0.932857143 0.624285714
 [965] 0.392857143 0.015714286
 [967] 0.878571429 0.304285714
 [969] 0.702857143 0.744285714
 [971] 0.128571429 0.557142857
 [973] 0.260000000 0.012857143
 [975] 0.988571429 0.562857143
 [977] 0.902857143 0.824285714
 [979] 0.430000000 0.520000000
 [981] 0.347142857 0.537142857
 [983] 0.655714286 0.074285714
 [985] 0.021428571 0.155714286
 [987] 0.982857143 0.325714286
 [989] 0.667142857 0.140000000
 [991] 0.161428571 0.101428571
 [993] 0.524285714 0.444285714
 [995] 0.950000000 0.850000000
 [997] 0.961428571 0.512857143
 [999] 0.848571429 0.402857143

> pFValues
   [1] 0.047142857 0.622857143
   [3] 0.080000000 0.371428571
   [5] 0.281428571 0.451428571
   [7] 0.458571429 0.975714286
   [9] 0.512857143 0.267142857
  [11] 0.818571429 0.691428571
  [13] 0.238571429 0.910000000
  [15] 0.850000000 0.652857143
  [17] 0.652857143 0.937142857
  [19] 0.172857143 0.181428571
  [21] 0.320000000 0.387142857
  [23] 0.418571429 0.934285714
  [25] 0.862857143 0.604285714
  [27] 0.395714286 0.910000000
  [29] 0.807142857 0.847142857
  [31] 0.451428571 0.984285714
  [33] 0.594285714 0.267142857
  [35] 0.957142857 0.304285714
  [37] 0.975714286 0.812857143
  [39] 0.470000000 0.054285714
  [41] 0.744285714 0.021428571
  [43] 0.332857143 0.935714286
  [45] 0.570000000 0.624285714
  [47] 0.221428571 0.754285714
  [49] 0.904285714 0.855714286
  [51] 0.758571429 0.141428571
  [53] 0.161428571 0.324285714
  [55] 0.512857143 0.524285714
  [57] 0.304285714 0.865714286
  [59] 0.142857143 0.728571429
  [61] 0.704285714 0.591428571
  [63] 0.158571429 0.075714286
  [65] 0.697142857 0.081428571
  [67] 0.361428571 0.424285714
  [69] 0.565714286 0.214285714
  [71] 0.675714286 0.632857143
  [73] 0.982857143 0.942857143
  [75] 0.392857143 0.747142857
  [77] 0.248571429 0.551428571
  [79] 0.491428571 0.975714286
  [81] 0.105714286 0.914285714
  [83] 0.327142857 0.375714286
  [85] 0.730000000 0.092857143
  [87] 0.755714286 0.144285714
  [89] 0.268571429 0.151428571
  [91] 0.050000000 0.551428571
  [93] 0.901428571 0.628571429
  [95] 0.355714286 0.472857143
  [97] 0.258571429 0.941428571
  [99] 0.545714286 0.880000000
 [101] 0.100000000 0.511428571
 [103] 0.577142857 0.910000000
 [105] 0.847142857 0.804285714
 [107] 0.970000000 0.238571429
 [109] 0.548571429 0.454285714
 [111] 0.417142857 0.358571429
 [113] 0.675714286 0.121428571
 [115] 0.691428571 0.460000000
 [117] 0.464285714 0.947142857
 [119] 0.114285714 0.022857143
 [121] 0.578571429 0.485714286
 [123] 0.377142857 0.705714286
 [125] 0.100000000 0.621428571
 [127] 0.017142857 0.377142857
 [129] 0.510000000 0.368571429
 [131] 0.054285714 0.642857143
 [133] 0.634285714 0.768571429
 [135] 0.044285714 0.737142857
 [137] 0.155714286 0.355714286
 [139] 0.028571429 0.735714286
 [141] 0.572857143 0.652857143
 [143] 0.082857143 0.840000000
 [145] 0.647142857 0.255714286
 [147] 0.715714286 0.260000000
 [149] 0.497142857 0.005714286
 [151] 0.335714286 0.192857143
 [153] 0.495714286 0.357142857
 [155] 0.437142857 0.131428571
 [157] 0.175714286 0.777142857
 [159] 0.165714286 0.678571429
 [161] 0.017142857 0.047142857
 [163] 0.457142857 0.381428571
 [165] 0.774285714 0.420000000
 [167] 0.245714286 0.134285714
 [169] 0.548571429 0.637142857
 [171] 0.442857143 0.631428571
 [173] 0.235714286 0.975714286
 [175] 0.810000000 0.247142857
 [177] 0.931428571 0.772857143
 [179] 0.232857143 0.027142857
 [181] 0.677142857 0.878571429
 [183] 0.065714286 0.724285714
 [185] 0.488571429 0.788571429
 [187] 0.240000000 0.812857143
 [189] 0.822857143 0.100000000
 [191] 0.261428571 0.247142857
 [193] 0.104285714 0.834285714
 [195] 0.152857143 0.728571429
 [197] 0.587142857 0.467142857
 [199] 0.674285714 0.630000000
 [201] 0.774285714 0.368571429
 [203] 0.460000000 0.962857143
 [205] 0.044285714 0.141428571
 [207] 0.548571429 0.250000000
 [209] 0.957142857 0.290000000
 [211] 0.272857143 0.400000000
 [213] 0.172857143 0.894285714
 [215] 0.417142857 0.438571429
 [217] 0.310000000 0.622857143
 [219] 0.732857143 0.180000000
 [221] 0.905714286 0.298571429
 [223] 0.901428571 0.032857143
 [225] 0.692857143 0.777142857
 [227] 0.005714286 0.551428571
 [229] 0.965714286 0.778571429
 [231] 0.877142857 0.442857143
 [233] 0.281428571 0.021428571
 [235] 0.060000000 0.335714286
 [237] 0.952857143 0.318571429
 [239] 0.948571429 0.132857143
 [241] 0.645714286 0.402857143
 [243] 0.042857143 0.807142857
 [245] 0.124285714 0.080000000
 [247] 0.381428571 0.360000000
 [249] 0.467142857 0.487142857
 [251] 0.194285714 0.490000000
 [253] 0.478571429 0.208571429
 [255] 0.921428571 0.438571429
 [257] 0.907142857 0.054285714
 [259] 0.752857143 0.055714286
 [261] 0.474285714 0.967142857
 [263] 0.225714286 0.558571429
 [265] 0.832857143 0.532857143
 [267] 0.624285714 0.870000000
 [269] 0.075714286 0.830000000
 [271] 0.565714286 0.411428571
 [273] 0.422857143 0.881428571
 [275] 0.157142857 0.227142857
 [277] 0.227142857 0.210000000
 [279] 0.704285714 0.305714286
 [281] 0.360000000 0.061428571
 [283] 0.605714286 0.744285714
 [285] 0.015714286 0.585714286
 [287] 0.745714286 0.050000000
 [289] 0.665714286 0.517142857
 [291] 0.641428571 0.285714286
 [293] 0.462857143 0.851428571
 [295] 0.334285714 0.380000000
 [297] 0.432857143 0.454285714
 [299] 0.321428571 0.011428571
 [301] 0.874285714 0.221428571
 [303] 0.742857143 0.210000000
 [305] 0.720000000 0.715714286
 [307] 0.738571429 0.371428571
 [309] 0.735714286 0.347142857
 [311] 0.267142857 0.801428571
 [313] 0.638571429 0.972857143
 [315] 0.888571429 0.930000000
 [317] 0.518571429 0.024285714
 [319] 0.321428571 0.112857143
 [321] 0.728571429 0.502857143
 [323] 0.341428571 0.592857143
 [325] 0.347142857 0.034285714
 [327] 0.250000000 0.867142857
 [329] 0.305714286 0.757142857
 [331] 0.991428571 0.811428571
 [333] 0.442857143 0.587142857
 [335] 0.960000000 0.261428571
 [337] 0.214285714 0.291428571
 [339] 0.388571429 0.517142857
 [341] 0.892857143 0.908571429
 [343] 0.477142857 0.964285714
 [345] 0.011428571 0.065714286
 [347] 0.968571429 0.952857143
 [349] 0.510000000 0.810000000
 [351] 0.682857143 0.250000000
 [353] 0.727142857 0.011428571
 [355] 0.975714286 0.457142857
 [357] 0.987142857 0.461428571
 [359] 0.728571429 0.544285714
 [361] 0.451428571 0.882857143
 [363] 0.441428571 0.361428571
 [365] 0.037142857 0.181428571
 [367] 0.388571429 0.090000000
 [369] 0.342857143 0.368571429
 [371] 0.144285714 0.325714286
 [373] 0.694285714 0.845714286
 [375] 0.437142857 0.741428571
 [377] 0.830000000 0.240000000
 [379] 0.681428571 0.651428571
 [381] 0.465714286 0.248571429
 [383] 0.608571429 0.385714286
 [385] 0.477142857 0.044285714
 [387] 0.178571429 0.032857143
 [389] 0.187142857 0.014285714
 [391] 0.897142857 0.301428571
 [393] 0.977142857 0.191428571
 [395] 0.952857143 0.497142857
 [397] 0.387142857 0.555714286
 [399] 0.758571429 0.900000000
 [401] 0.954285714 0.221428571
 [403] 0.035714286 0.147142857
 [405] 0.841428571 0.447142857
 [407] 0.461428571 0.241428571
 [409] 0.875714286 0.592857143
 [411] 0.078571429 0.241428571
 [413] 0.882857143 0.484285714
 [415] 0.141428571 0.855714286
 [417] 0.260000000 0.808571429
 [419] 0.145714286 0.824285714
 [421] 0.612857143 0.475714286
 [423] 0.445714286 0.972857143
 [425] 0.134285714 0.898571429
 [427] 0.935714286 0.395714286
 [429] 0.285714286 0.695714286
 [431] 0.821428571 0.760000000
 [433] 0.974285714 0.805714286
 [435] 0.830000000 0.768571429
 [437] 0.975714286 0.957142857
 [439] 0.824285714 0.868571429
 [441] 0.817142857 0.818571429
 [443] 0.500000000 0.915714286
 [445] 0.084285714 0.127142857
 [447] 0.377142857 0.262857143
 [449] 0.504285714 0.654285714
 [451] 0.840000000 0.237142857
 [453] 0.272857143 0.408571429
 [455] 0.760000000 0.342857143
 [457] 0.295714286 0.541428571
 [459] 0.860000000 0.525714286
 [461] 0.647142857 0.292857143
 [463] 0.758571429 0.548571429
 [465] 0.932857143 0.581428571
 [467] 0.691428571 0.284285714
 [469] 0.742857143 0.300000000
 [471] 0.134285714 0.144285714
 [473] 0.832857143 0.585714286
 [475] 0.224285714 0.048571429
 [477] 0.497142857 0.815714286
 [479] 0.325714286 0.158571429
 [481] 0.042857143 0.820000000
 [483] 0.757142857 0.347142857
 [485] 0.557142857 0.221428571
 [487] 0.358571429 0.610000000
 [489] 0.577142857 0.657142857
 [491] 0.768571429 0.591428571
 [493] 0.931428571 0.124285714
 [495] 0.367142857 0.938571429
 [497] 0.942857143 0.732857143
